
============================================================
Run started: 2026-06-13 20:51:37
============================================================

============================================================
Run started: 2026-06-13 20:51:48
============================================================
Starting grind — 50000 steps on cuda
  Micro-batch  : 8  (effective = 128)
  LR           : 1e-4 → 1e-6  (CosineAnnealing T_max=50,000 — Weekend Warrior)
  Weight decay : 0.01
  Ckpt every   : 2000 steps  (.safetensors)
  Target loss  : 1.05  → saves BITNET_1.05_HERO_WEIGHTS.safetensors then exits
  Diverge guard: loss > 2.5 after step 100 → emergency stop
  Log file     : uw_application_grind.txt
Step: 1 | Loss: 1.1756 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 2 | Loss: 1.9868 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 3 | Loss: 1.4741 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 4 | Loss: 1.4691 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 5 | Loss: 1.3471 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 6 | Loss: 1.3669 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 7 | Loss: 1.3608 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 8 | Loss: 1.3037 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 9 | Loss: 1.2950 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 10 | Loss: 1.2200 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 11 | Loss: 1.2867 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 12 | Loss: 1.2897 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 13 | Loss: 1.2865 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 14 | Loss: 1.3101 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 15 | Loss: 1.2745 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 16 | Loss: 1.2191 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 17 | Loss: 1.2444 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 18 | Loss: 1.2817 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 19 | Loss: 1.2397 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 20 | Loss: 1.2159 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 21 | Loss: 1.2647 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 22 | Loss: 1.2665 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 23 | Loss: 1.2761 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 24 | Loss: 1.2151 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 25 | Loss: 1.2631 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 26 | Loss: 1.2743 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 27 | Loss: 1.2462 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 28 | Loss: 1.1777 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 29 | Loss: 1.2943 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 30 | Loss: 1.2566 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 31 | Loss: 1.2054 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 32 | Loss: 1.2535 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 33 | Loss: 1.2382 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 34 | Loss: 1.2209 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 35 | Loss: 1.2345 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 36 | Loss: 1.2572 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 37 | Loss: 1.2272 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 38 | Loss: 1.2411 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 39 | Loss: 1.2383 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 40 | Loss: 1.2374 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 41 | Loss: 1.2308 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 42 | Loss: 1.1805 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 43 | Loss: 1.2272 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 44 | Loss: 1.1854 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 45 | Loss: 1.2368 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 46 | Loss: 1.2122 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 47 | Loss: 1.2458 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 48 | Loss: 1.2255 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 49 | Loss: 1.2419 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 50 | Loss: 1.2358 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 51 | Loss: 1.2307 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 52 | Loss: 1.2511 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 53 | Loss: 1.1946 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 54 | Loss: 1.2165 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 55 | Loss: 1.2956 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 56 | Loss: 1.1848 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 57 | Loss: 1.2280 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 58 | Loss: 1.2522 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 59 | Loss: 1.2121 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 60 | Loss: 1.2826 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 61 | Loss: 1.1827 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 62 | Loss: 1.2017 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 63 | Loss: 1.2113 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 64 | Loss: 1.2727 | LR: 1.00e-04 | VRAM: 1.40 GB
Step: 65 | Loss: 1.2580 | LR: 1.00e-04 | VRAM: 1.40 GB
